,Region_x,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_y,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
0,Southern Asia,3.1915,3.025,3.3625,0.342,0.07341,0.1785,0.19,0.08405,0.3075,2.0534999999999997,Middle East/Central Asia,36.3495,0.4685,5938.9115,0.34950000000000003,0.274,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
1,Central and Eastern Europe,4.927,4.8004999999999995,4.513,1.026,0.518,0.7745,0.34199999999999997,0.0277975,0.17099999999999999,2.0534999999999997,Northern/Eastern Europe,36.3495,0.726,5938.9115,0.7224999999999999,0.274,0.2935,0.48019999999999996,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,6
2,Middle East and Northern Africa,6.082000000000001,5.9825,6.234,1.026,0.8135,0.655,0.19,0.14,0.10265,3.426,Africa,36.3495,0.726,5938.9115,0.536,0.089765,0.10299,1.4595,0.04059,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
3,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,0.798,0.6659999999999999,0.0590235,0.037746,0.08405,0.10265,2.0534999999999997,Africa,36.3495,0.554,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.123,1.054,0.16679000000000002,1.286,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
4,Latin America and Caribbean,6.6595,6.573499999999999,6.808,1.254,1.109,0.655,0.41800000000000004,0.08405,0.10265,3.1515,Latin America,36.3495,0.8115,17434.9365,0.7224999999999999,0.8220000000000001,0.2935,1.4595,0.123,3.6285,2.5404999999999998,1.8005,2.7514,1.269,0.105,9.325,1.254,2.094,3.1294999999999997,6
5,Central and Eastern Europe,4.349,4.2095,4.513,0.798,0.6659999999999999,0.655,0.11405,0.0277975,0.10265,2.0534999999999997,Middle East/Central Asia,36.3495,0.726,5938.9115,0.7224999999999999,0.089765,0.2935,0.48019999999999996,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,1.3525,3.1294999999999997,3B
6,Australia and New Zealand,7.237,7.1645,7.382,1.4820000000000002,1.109,0.8935,0.5700000000000001,0.30900000000000005,0.44399999999999995,2.6025,Asia-Pacific,36.3495,0.897,63190.2605,2.587,0.6395,0.8594999999999999,4.3785,0.123,8.7615,5.250500000000001,5.915,2.7514,2.96,0.135,15.508500000000002,7.4115,5.061,3.1294999999999997,5
7,Western Europe,7.237,7.1645,7.382,1.4820000000000002,1.109,0.7745,0.5700000000000001,0.1965,0.3075,2.6025,European Union,36.3495,0.897,51751.4295,0.909,0.274,0.6705,4.3785,0.04059,6.195,0.847,0.252885,2.7514,0.41495,0.135,3.0858499999999998,-4.9035,3.5774999999999997,3.1294999999999997,5
8,Central and Eastern Europe,5.5045,5.391500000000001,5.087,1.026,0.8135,0.5355,0.34199999999999997,0.1965,0.03374,2.328,Middle East/Central Asia,36.3495,0.726,5938.9115,0.7224999999999999,0.274,0.10299,1.4595,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,6
9,Middle East and Northern Africa,6.082000000000001,5.9825,6.234,1.4820000000000002,0.961,0.655,0.494,0.253,0.17099999999999999,2.328,Middle East/Central Asia,36.3495,0.8115,28873.7675,0.536,0.4565,0.10299,6.325,0.04059,7.4784999999999995,0.16679000000000002,0.252885,2.7514,0.41495,0.105,3.0858499999999998,-4.9035,4.319,15.965,3L
10,Southern Asia,4.927,4.8004999999999995,4.513,0.5700000000000001,0.22199999999999998,0.5355,0.41800000000000004,0.14,0.17099999999999999,2.6025,Asia-Pacific,185.26850000000002,0.554,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
11,Central and Eastern Europe,6.082000000000001,5.9825,5.6605,1.026,1.109,0.655,0.266,0.1965,0.17099999999999999,2.328,Northern/Eastern Europe,36.3495,0.8115,5938.9115,1.282,0.089765,0.8594999999999999,2.4325,0.04059,4.9115,1.5245,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,2.836,3.1294999999999997,6
12,Western Europe,6.6595,6.573499999999999,6.808,1.4820000000000002,1.109,0.7745,0.494,0.253,0.239,2.6025,European Union,36.3495,0.897,51751.4295,1.0955,0.4565,1.048,4.3785,0.123,7.4784999999999995,0.5085000000000001,0.252885,2.7514,0.41495,0.255,3.0858499999999998,-4.9035,4.319,3.1294999999999997,6
13,Latin America and Caribbean,6.082000000000001,5.9825,6.234,0.798,0.6659999999999999,0.4165,0.494,0.08405,0.239,3.1515,,,,,,,,,,,,,,,,,,,,
14,Sub-Saharan Africa,3.7714999999999996,3.6185,3.3625,0.342,0.07341,0.1785,0.41800000000000004,0.08405,0.17099999999999999,2.0534999999999997,Africa,36.3495,0.4685,5938.9115,0.536,0.089765,0.2935,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
15,Southern Asia,4.927,5.391500000000001,5.087,0.798,0.961,0.5355,0.494,0.14,0.512,1.7785,Asia-Pacific,36.3495,0.554,5938.9115,0.536,0.4565,2.9355,0.48019999999999996,0.04059,4.9115,0.16679000000000002,0.252885,2.7514,0.41495,0.255,3.0858499999999998,1.254,2.836,3.1294999999999997,3B
16,Latin America and Caribbean,6.082000000000001,5.9825,5.6605,0.798,0.8135,0.4165,0.494,0.08405,0.239,2.877,Latin America,36.3495,0.64,5938.9115,0.34950000000000003,1.7349999999999999,0.10299,0.48019999999999996,0.04059,2.345,0.5085000000000001,2.315,13.994,0.41495,0.045,15.508500000000002,13.568999999999999,1.3525,3.1294999999999997,5
17,Central and Eastern Europe,4.927,4.8004999999999995,5.087,1.026,0.6659999999999999,0.655,0.11405,0.0277975,0.3075,2.6025,Northern/Eastern Europe,36.3495,0.726,5938.9115,0.7224999999999999,0.274,0.482,1.4595,0.04059,3.6285,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,2.094,3.1294999999999997,5
18,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,1.026,0.961,0.2975,0.41800000000000004,0.08405,0.10265,0.9535,Africa,36.3495,0.726,5938.9115,0.34950000000000003,0.8220000000000001,0.2935,2.4325,0.04059,3.6285,0.16679000000000002,2.315,2.7514,0.41495,0.014865,3.0858499999999998,1.254,2.094,3.1294999999999997,3B
19,Latin America and Caribbean,7.237,7.1645,6.808,1.026,1.109,0.655,0.41800000000000004,0.14,0.17099999999999999,3.426,Latin America,185.26850000000002,0.726,17434.9365,0.536,0.8220000000000001,0.6705,0.48019999999999996,0.04059,3.6285,0.847,0.7715,8.3965,0.41495,0.075,9.325,7.4115,2.094,3.1294999999999997,5
20,Central and Eastern Europe,4.349,4.2095,4.513,1.026,0.961,0.655,0.19,0.0277975,0.10265,1.2295,European Union,36.3495,0.8115,5938.9115,0.536,0.089765,0.2935,2.4325,0.04059,3.6285,1.1855,0.252885,2.7514,0.41495,0.135,3.0858499999999998,1.254,2.094,3.1294999999999997,5
21,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,0.342,0.6659999999999999,0.1785,0.34199999999999997,0.14,0.239,1.7785,Africa,36.3495,0.3825,5938.9115,0.536,0.089765,0.2935,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,5
22,Sub-Saharan Africa,3.1915,3.025,3.3625,0.11309000000000001,0.22199999999999998,0.1785,0.037746,0.08405,0.17099999999999999,2.0534999999999997,Africa,36.3495,0.3825,5938.9115,0.1617,0.089765,0.482,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,4
23,Southeastern Asia,3.7714999999999996,3.6185,3.939,0.5700000000000001,0.518,0.4165,0.5700000000000001,0.08405,0.376,1.2295,Asia-Pacific,36.3495,0.554,5938.9115,,,,,,1.054,,,,,,3.0858499999999998,1.254,0.6065,3.1294999999999997,3T
24,Sub-Saharan Africa,4.349,4.2095,4.513,0.5700000000000001,0.6659999999999999,0.1785,0.41800000000000004,0.08405,0.239,2.6025,Africa,36.3495,0.4685,5938.9115,0.536,0.089765,0.2935,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
25,North America,7.237,7.1645,7.382,1.4820000000000002,1.109,0.7745,0.5700000000000001,0.30900000000000005,0.44399999999999995,2.6025,North America,36.3495,0.897,51751.4295,1.468,0.274,1.2365,5.3515,0.123,8.7615,3.2184999999999997,0.252885,8.3965,3.806,0.075,15.508500000000002,7.4115,5.061,3.1294999999999997,5
26,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,0.342,0.6659999999999999,0.0590235,0.11405,0.0277975,0.17099999999999999,2.328,Africa,36.3495,0.3825,5938.9115,0.34950000000000003,0.8220000000000001,0.2935,0.48019999999999996,0.04059,1.054,0.5085000000000001,1.286,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
27,Latin America and Caribbean,6.6595,6.573499999999999,6.808,1.254,0.961,0.7745,0.34199999999999997,0.14,0.3075,2.877,Latin America,36.3495,0.8115,17434.9365,0.536,0.274,1.048,2.4325,0.28700000000000003,4.9115,0.5085000000000001,0.252885,2.7514,0.41495,0.135,3.0858499999999998,1.254,2.836,3.1294999999999997,6
28,Eastern Asia,5.5045,5.391500000000001,5.087,1.026,0.8135,0.7745,0.41800000000000004,0.0277975,0.03374,2.0534999999999997,Asia-Pacific,1370.9865,0.726,5938.9115,0.536,0.089765,0.10299,2.4325,0.04059,3.6285,0.5085000000000001,0.252885,2.7514,0.41495,0.105,3.0858499999999998,-4.9035,2.094,3.1294999999999997,6
29,Latin America and Caribbean,6.6595,6.573499999999999,6.808,1.026,0.961,0.655,0.41800000000000004,0.0277975,0.17099999999999999,3.1515,Latin America,36.3495,0.726,5938.9115,0.34950000000000003,0.6395,0.10299,0.48019999999999996,0.04059,2.345,0.16679000000000002,1.286,2.7514,0.41495,0.075,3.0858499999999998,1.254,1.3525,3.1294999999999997,6
30,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,0.342,0.6659999999999999,0.2975,0.19,0.1965,0.17099999999999999,2.328,Africa,36.3495,0.4685,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.28700000000000003,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,3B
31,Sub-Saharan Africa,4.349,4.2095,4.513,0.798,0.518,0.2975,0.34199999999999997,0.08405,0.10265,2.0534999999999997,,,,,,,,,,,,,,,,,,,,
32,Sub-Saharan Africa,4.349,4.2095,4.513,0.11309000000000001,0.8135,0.1785,0.19,0.08405,0.239,2.877,,,,,,,,,,,,,,,,,,,,
33,Latin America and Caribbean,7.237,7.1645,7.382,1.026,0.961,0.7745,0.5700000000000001,0.08405,0.239,3.426,Latin America,36.3495,0.726,5938.9115,0.34950000000000003,0.274,0.6705,1.4595,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.105,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
34,Central and Eastern Europe,5.5045,5.391500000000001,5.6605,1.254,0.6659999999999999,0.655,0.266,0.0277975,0.17099999999999999,2.6025,Northern/Eastern Europe,36.3495,0.8115,17434.9365,0.7224999999999999,0.089765,0.6705,2.4325,0.04059,3.6285,0.847,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,2.094,3.1294999999999997,6
35,Western Europe,5.5045,5.391500000000001,5.6605,1.254,0.6659999999999999,0.8935,0.266,0.0277975,0.3075,2.0534999999999997,European Union,36.3495,0.8115,28873.7675,0.7224999999999999,0.089765,0.2935,3.4055,0.123,3.6285,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,-4.9035,2.094,9.587,5
36,Central and Eastern Europe,6.6595,6.573499999999999,6.808,1.254,0.961,0.7745,0.41800000000000004,0.0277975,0.10265,2.877,European Union,36.3495,0.897,17434.9365,0.536,0.274,0.6705,3.4055,0.04059,4.9115,0.847,0.252885,2.7514,0.41495,0.135,3.0858499999999998,-4.9035,2.836,3.1294999999999997,5
37,Western Europe,7.237,7.1645,7.382,1.4820000000000002,1.109,0.7745,0.5700000000000001,0.42100000000000004,0.376,2.6025,European Union,36.3495,0.897,63190.2605,1.0955,0.4565,0.8594999999999999,2.4325,0.20500000000000002,4.9115,2.5404999999999998,0.252885,2.7514,2.1145,0.255,3.0858499999999998,1.254,2.836,3.1294999999999997,5
38,Latin America and Caribbean,4.927,4.8004999999999995,5.087,1.026,0.961,0.5355,0.494,0.14,0.239,1.7785,Latin America,36.3495,0.726,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
39,Latin America and Caribbean,6.082000000000001,5.9825,6.234,1.026,0.8135,0.655,0.41800000000000004,0.1965,0.10265,2.877,Latin America,36.3495,0.726,5938.9115,0.34950000000000003,0.274,0.2935,1.4595,0.20500000000000002,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
40,Middle East and Northern Africa,4.349,4.2095,4.513,1.026,0.518,0.5355,0.19,0.08405,0.10265,2.0534999999999997,Africa,111.161,0.726,5938.9115,0.7224999999999999,0.089765,0.10299,1.4595,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.135,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
41,Latin America and Caribbean,6.082000000000001,5.9825,6.234,0.798,0.8135,0.655,0.34199999999999997,0.08405,0.10265,3.1515,Latin America,36.3495,0.64,5938.9115,0.34950000000000003,0.274,0.482,0.48019999999999996,0.123,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
42,Central and Eastern Europe,5.5045,5.391500000000001,5.6605,1.254,1.109,0.655,0.41800000000000004,0.1965,0.10265,1.7785,European Union,36.3495,0.8115,17434.9365,,,,,,7.4784999999999995,,,,,,9.325,1.254,4.319,3.1294999999999997,3T
43,Sub-Saharan Africa,4.349,4.2095,4.513,0.342,0.37,0.2975,0.34199999999999997,0.1965,0.3075,2.6025,Africa,111.161,0.4685,5938.9115,0.34950000000000003,0.089765,0.482,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
44,Western Europe,7.237,7.1645,7.382,1.4820000000000002,1.109,0.7745,0.5700000000000001,0.42100000000000004,0.239,2.877,European Union,36.3495,0.897,51751.4295,,,,,,6.195,,,,,,15.508500000000002,7.4115,3.5774999999999997,3.1294999999999997,3T
45,Western Europe,6.6595,6.573499999999999,6.808,1.4820000000000002,0.961,0.8935,0.494,0.1965,0.10265,2.6025,European Union,36.3495,0.897,40312.5985,1.282,0.274,0.482,2.4325,0.20500000000000002,4.9115,1.5245,0.252885,2.7514,0.41495,0.195,3.0858499999999998,-4.9035,2.836,3.1294999999999997,6
46,Sub-Saharan Africa,4.349,4.2095,3.939,1.254,0.6659999999999999,0.2975,0.266,0.08405,0.03374,1.504,Africa,36.3495,0.64,17434.9365,0.536,0.089765,0.8594999999999999,0.48019999999999996,0.123,2.345,0.16679000000000002,3.3434999999999997,19.592,2.96,0.014865,27.875,25.884,1.3525,3.1294999999999997,3L
47,Central and Eastern Europe,4.349,4.2095,4.513,0.798,0.22199999999999998,0.655,0.34199999999999997,0.30900000000000005,0.03374,1.7785,Middle East/Central Asia,36.3495,0.726,5938.9115,0.34950000000000003,0.274,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,3B
48,Western Europe,7.237,7.1645,6.808,1.4820000000000002,1.109,0.7745,0.5700000000000001,0.30900000000000005,0.3075,2.6025,European Union,111.161,0.897,51751.4295,1.0955,0.089765,0.482,3.4055,0.04059,4.9115,1.1855,0.252885,2.7514,0.41495,0.22499999999999998,3.0858499999999998,-4.9035,2.836,3.1294999999999997,5
49,Sub-Saharan Africa,4.349,4.2095,4.513,0.5700000000000001,0.518,0.2975,0.41800000000000004,0.0277975,0.239,2.328,Africa,36.3495,0.554,5938.9115,0.536,0.089765,0.6705,0.48019999999999996,0.20500000000000002,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,1.3525,3.1294999999999997,6
50,Western Europe,4.927,4.8004999999999995,5.087,1.254,0.8135,0.7745,0.037746,0.0277975,0.03374,2.0534999999999997,European Union,36.3495,0.897,28873.7675,1.0955,0.274,0.2935,2.4325,0.04059,4.9115,0.847,0.252885,2.7514,0.41495,0.045,3.0858499999999998,-4.9035,2.836,3.1294999999999997,5
51,Latin America and Caribbean,6.082000000000001,5.9825,6.234,0.798,0.8135,0.5355,0.494,0.08405,0.3075,3.1515,Latin America,36.3495,0.64,5938.9115,0.34950000000000003,0.089765,0.6705,0.48019999999999996,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
52,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,0.11309000000000001,0.37,0.1785,0.34199999999999997,0.14,0.3075,2.0534999999999997,Africa,36.3495,0.3825,5938.9115,0.34950000000000003,0.274,0.482,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.7715,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,5
53,Latin America and Caribbean,3.7714999999999996,3.6185,3.939,0.342,0.22199999999999998,0.2975,0.11405,0.14,0.512,2.328,Latin America,36.3495,0.4685,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
54,Latin America and Caribbean,4.927,4.8004999999999995,5.087,0.798,0.8135,0.5355,0.266,0.08405,0.17099999999999999,2.328,Latin America,36.3495,0.64,5938.9115,0.34950000000000003,0.274,0.482,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,3B
55,Eastern Asia,5.5045,5.391500000000001,5.6605,1.4820000000000002,0.8135,0.8935,0.494,0.30900000000000005,0.376,0.9535,,,,,,,,,,,,,,,,,,,,
56,Central and Eastern Europe,4.927,4.8004999999999995,5.087,1.254,0.961,0.655,0.19,0.0277975,0.10265,2.0534999999999997,European Union,36.3495,0.8115,5938.9115,0.34950000000000003,0.089765,0.2935,1.4595,0.04059,2.345,1.1855,0.252885,2.7514,0.41495,0.135,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
57,Western Europe,7.237,7.1645,7.382,1.4820000000000002,1.109,0.8935,0.5700000000000001,0.14,0.44399999999999995,2.877,,,,,,,,,,,,,,,,,,,,
58,Southern Asia,4.349,4.2095,4.513,0.798,0.22199999999999998,0.4165,0.41800000000000004,0.08405,0.239,2.0534999999999997,Asia-Pacific,1222.7715,0.64,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
59,Southeastern Asia,5.5045,5.391500000000001,5.6605,1.026,0.8135,0.5355,0.41800000000000004,0.0277975,0.5805,2.0534999999999997,Asia-Pacific,259.3755,0.64,5938.9115,0.34950000000000003,0.089765,0.2935,0.48019999999999996,0.20500000000000002,1.054,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
60,Middle East and Northern Africa,4.927,4.8004999999999995,5.087,1.026,0.37,0.655,0.19,0.0277975,0.376,2.0534999999999997,Middle East/Central Asia,111.161,0.726,5938.9115,0.7224999999999999,0.089765,0.10299,1.4595,0.123,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.075,3.0858499999999998,-4.9035,1.3525,3.1294999999999997,3B
61,Middle East and Northern Africa,4.349,4.2095,4.513,1.026,0.6659999999999999,0.5355,0.266,0.14,0.17099999999999999,1.7785,Middle East/Central Asia,36.3495,0.64,5938.9115,0.34950000000000003,0.089765,0.10299,1.4595,0.04059,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,9.587,3B
62,Western Europe,6.6595,6.573499999999999,6.808,1.4820000000000002,1.109,0.7745,0.5700000000000001,0.30900000000000005,0.44399999999999995,2.0534999999999997,European Union,36.3495,0.897,51751.4295,1.0955,0.4565,0.482,3.4055,0.20500000000000002,6.195,0.847,0.7715,2.7514,1.269,0.135,3.0858499999999998,-4.9035,3.5774999999999997,3.1294999999999997,5
63,Middle East and Northern Africa,7.237,7.1645,7.382,1.254,0.961,0.8935,0.34199999999999997,0.08405,0.3075,3.426,Middle East/Central Asia,36.3495,0.897,28873.7675,0.909,0.274,0.2935,4.3785,0.04059,6.195,0.16679000000000002,0.252885,2.7514,0.41495,0.075,3.0858499999999998,-4.9035,3.5774999999999997,15.965,6
64,Western Europe,6.082000000000001,5.9825,6.234,1.254,1.109,0.8935,0.19,0.0277975,0.17099999999999999,2.328,European Union,36.3495,0.897,40312.5985,0.909,0.274,0.482,2.4325,0.123,4.9115,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,-4.9035,2.836,3.1294999999999997,6
65,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,0.5700000000000001,0.518,0.0590235,0.41800000000000004,0.14,0.17099999999999999,2.0534999999999997,,,,,,,,,,,,,,,,,,,,
66,Latin America and Caribbean,5.5045,5.391500000000001,5.6605,0.798,0.961,0.5355,0.41800000000000004,0.0277975,0.239,2.328,Latin America,36.3495,0.726,5938.9115,0.34950000000000003,0.089765,0.10299,1.4595,0.04059,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,3B
67,Eastern Asia,6.082000000000001,5.9825,6.234,1.4820000000000002,1.109,0.8935,0.494,0.1965,0.10265,1.7785,Asia-Pacific,111.161,0.897,51751.4295,0.536,0.089765,0.2935,3.4055,0.369,4.9115,0.16679000000000002,0.252885,2.7514,0.41495,0.105,3.0858499999999998,-4.9035,2.836,9.587,6
68,Middle East and Northern Africa,5.5045,5.391500000000001,5.6605,1.026,0.8135,0.655,0.34199999999999997,0.14,0.17099999999999999,2.328,Middle East/Central Asia,36.3495,0.726,5938.9115,0.536,0.089765,0.10299,1.4595,0.04059,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.075,3.0858499999999998,-4.9035,1.3525,9.587,5
69,Central and Eastern Europe,6.082000000000001,5.9825,6.234,1.254,0.961,0.5355,0.41800000000000004,0.08405,0.17099999999999999,2.6025,Middle East/Central Asia,36.3495,0.8115,5938.9115,0.536,0.274,0.10299,4.3785,0.04059,4.9115,1.1855,1.8005,2.7514,0.41495,0.014865,3.0858499999999998,-4.9035,2.836,3.1294999999999997,3L
70,Sub-Saharan Africa,4.349,4.2095,4.513,0.5700000000000001,0.8135,0.2975,0.41800000000000004,0.08405,0.44399999999999995,1.7785,Africa,36.3495,0.554,5938.9115,0.1617,0.274,0.2935,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,5
71,Central and Eastern Europe,5.5045,5.391500000000001,5.6605,0.798,0.6659999999999999,0.5355,0.11405,0.08405,0.3075,2.877,,,,,,,,,,,,,,,,,,,,
72,Middle East and Northern Africa,6.082000000000001,5.9825,6.234,1.71,0.8135,0.655,0.41800000000000004,0.253,0.17099999999999999,2.328,Middle East/Central Asia,36.3495,0.8115,5938.9115,0.536,0.274,0.2935,7.298500000000001,0.123,8.7615,0.16679000000000002,0.252885,2.7514,0.41495,0.135,3.0858499999999998,-4.9035,5.061,15.965,3L
73,Central and Eastern Europe,4.927,5.391500000000001,5.087,0.5700000000000001,0.961,0.5355,0.41800000000000004,0.0277975,0.376,2.328,Middle East/Central Asia,36.3495,0.64,5938.9115,0.536,0.089765,0.10299,0.48019999999999996,0.04059,2.345,0.5085000000000001,0.7715,2.7514,0.41495,0.075,3.0858499999999998,1.254,1.3525,3.1294999999999997,3B
74,Southeastern Asia,4.927,4.8004999999999995,5.087,0.5700000000000001,0.518,0.4165,0.494,0.1965,0.44399999999999995,2.0534999999999997,,,,,,,,,,,,,,,,,,,,
75,Central and Eastern Europe,5.5045,5.391500000000001,5.6605,1.254,0.961,0.655,0.266,0.08405,0.17099999999999999,2.328,European Union,36.3495,0.8115,5938.9115,2.214,0.089765,1.992,1.4595,0.123,6.195,3.2184999999999997,0.252885,2.7514,2.1145,0.135,9.325,1.254,3.5774999999999997,3.1294999999999997,5
76,Middle East and Northern Africa,4.927,4.8004999999999995,5.087,1.026,0.6659999999999999,0.7745,0.266,0.0277975,0.239,2.0534999999999997,Middle East/Central Asia,36.3495,0.726,5938.9115,0.7224999999999999,0.274,0.2935,2.4325,0.04059,3.6285,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,-4.9035,2.094,9.587,6
77,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,0.11309000000000001,0.518,0.1785,0.266,0.0277975,0.239,2.328,Africa,36.3495,0.3825,5938.9115,0.1617,0.089765,0.6705,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.7715,2.7514,0.41495,0.014865,3.0858499999999998,1.254,0.6065,3.1294999999999997,3B
78,Middle East and Northern Africa,5.5045,5.391500000000001,5.6605,1.026,0.961,0.5355,0.41800000000000004,0.08405,0.17099999999999999,2.328,Africa,36.3495,0.726,5938.9115,0.7224999999999999,0.274,0.10299,2.4325,0.123,3.6285,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,-4.9035,2.094,3.1294999999999997,3B
79,Central and Eastern Europe,6.082000000000001,5.9825,5.6605,1.254,1.109,0.655,0.19,0.0277975,0.03374,2.6025,European Union,36.3495,0.8115,17434.9365,1.841,0.274,1.2365,2.4325,0.123,6.195,2.8795,0.252885,2.7514,0.41495,0.135,3.0858499999999998,1.254,3.5774999999999997,3.1294999999999997,5
80,Western Europe,6.6595,6.573499999999999,6.808,1.71,1.109,0.8935,0.5700000000000001,0.365,0.3075,2.0534999999999997,European Union,36.3495,0.897,108945.5845,1.0955,0.8220000000000001,1.048,12.163499999999999,0.123,15.1785,0.5085000000000001,0.252885,2.7514,0.41495,0.135,3.0858499999999998,-11.1225,8.769,9.587,5
